id,name,phone,email
1,ada,82123,
2,adad,62082123456789,
3,adad,82123456789,
4,xz,121212,Geronimo@gmail.com
5,sa,32131,restrict@gmail.com
6,samuel,19281982,iamsamsaj
7,anns,92192,iasjaijsm@gmail.com
8,jansa,1210210,iamsah@gmail.com
9,sasas,817171,sam@gmail.com
10,Sam,85792190233,iaiaiaia@gmail.com
11,Rendi,812311234,asdasd@gmail.com
12,rendi,8123123123,res@gmail.com
13,redi,81239123,red@gmail.com
14,acong,8192389,asda@gmail.com
15,asep,6281399212378,asdasd@gmail.com
16,asep,6281399212378,ase@gmail.com
17,acong,None,asd@gmail.com
18,boris,6281399212378,asda@gmail.com
19,fitri,6281399212378,asda@gmail.com
